timestamp,open,high,low,close,volume
2023-12-27,192.4900,193.5000,191.0900,193.1500,47899806
2023-12-26,193.6100,193.8900,192.8300,193.0500,28919310
2023-12-22,195.1800,195.4100,192.9700,193.6000,37149570
2023-12-21,196.1000,197.0800,193.5000,194.6800,46482549
2023-12-20,196.9000,197.6800,194.8300,194.8300,52242815
2023-12-19,196.1600,196.9500,195.8900,196.9400,40233138
2023-12-18,196.0900,196.6300,194.3900,195.8900,55751861
2023-12-15,197.5300,198.3999,197.0000,197.5700,128538401
2023-12-14,198.0200,199.6200,196.1600,198.1100,66831572
2023-12-13,195.0900,198.0000,194.8500,197.9600,70404183
2023-12-12,193.0800,194.7200,191.7210,194.7100,52696900
2023-12-11,193.1100,193.4900,191.4200,193.1800,60943699
2023-12-08,194.2000,195.9900,193.6700,195.7100,53406358
2023-12-07,193.6300,195.0000,193.5900,194.2700,47477655
2023-12-06,194.4500,194.7600,192.1100,192.3200,40895115
2023-12-05,190.2100,194.4000,190.1800,193.4200,66628398
2023-12-04,189.9800,190.0500,187.4511,189.4300,43389519
2023-12-01,190.3300,191.5600,189.2300,191.2400,45704823
2023-11-30,189.8400,190.3200,188.1900,189.9500,48794366
2023-11-29,190.9000,192.0900,188.9700,189.3700,43014224
2023-11-28,189.7800,191.0800,189.4000,190.4000,38415419
2023-11-27,189.9200,190.6700,188.9000,189.7900,40552609
2023-11-24,190.8700,190.9000,189.2500,189.9700,24048344
2023-11-22,191.4900,192.9300,190.8250,191.3100,39630011
2023-11-21,191.4100,191.5200,189.7400,190.6400,38134485
2023-11-20,189.8900,191.9050,189.8800,191.4500,46538614
2023-11-17,190.2500,190.3800,188.5700,189.6900,50941404
2023-11-16,189.5700,190.9600,188.6500,189.7100,54412915
2023-11-15,187.8450,189.5000,187.7800,188.0100,53790499
2023-11-14,187.7000,188.1100,186.3000,187.4400,60108378
2023-11-13,185.8200,186.0300,184.2100,184.8000,43627519
2023-11-10,183.9700,186.5650,183.5300,186.4000,66177922
2023-11-09,182.9600,184.1200,181.8100,182.4100,53763540
2023-11-08,182.3500,183.4500,181.5900,182.8900,49340282
2023-11-07,179.1800,182.4400,178.9700,181.8200,70529966
2023-11-06,176.3800,179.4300,176.2100,179.2300,63841310
2023-11-03,174.2400,176.8200,173.3500,176.6500,79829246
2023-11-02,175.5200,177.7800,175.4600,177.5700,77334752
2023-11-01,171.0000,174.2300,170.1200,173.9700,56934906
2023-10-31,169.3500,170.9000,167.9000,170.7700,44846017
2023-10-30,169.0200,171.1700,168.8700,170.2900,51130955
2023-10-27,166.9100,168.9600,166.8300,168.2200,58499129
2023-10-26,170.3700,171.3775,165.6700,166.8900,70625258
2023-10-25,171.8800,173.0600,170.6500,171.1000,57156962
2023-10-24,173.0500,173.6700,171.4500,173.4400,43816644
2023-10-23,170.9100,174.0100,169.9300,173.0000,55980109
2023-10-20,175.3100,175.4200,172.6400,172.8800,64244028
2023-10-19,176.0400,177.8400,175.1900,175.4600,59302863
2023-10-18,175.5800,177.5750,175.1100,175.8400,54764375
